DateTime,AddedIPs,RemovedIPs
1487221383,7,10
1487224982,8,13
1487228583,4,7
1487232186,4,8
1487235781,6,11
1487239380,4,10
1487242981,5,12
1487246581,11,11
1487250181,11,10
1487253778,7,11
1487257379,9,9
1487260980,0,8
1487264583,4,6
1487268182,3,17
1487271779,6,7
1487275381,8,7
1487278984,10,10
1487282584,4,8
1487286178,4,10
1487289780,6,7
1487293388,8,13
1487296974,4,8
1487300578,11,12
1487304178,6,10
1487307782,9,7
1487311386,3,11
1487314976,5,11
1487318581,2,4
1487322178,8,8
1487325776,7,14
1487329376,9,5
1487332976,5,14
1487336585,5,8
1487340179,5,7
1487343777,8,9
1487347379,3,7
1487350981,4,7
1487354578,4,9
1487358179,9,4
1487361782,4,5
1487365378,3,11
1487368984,24,5
1487372579,5,8
1487376179,8,8
1487379777,5,8
1487383378,6,4
1487386980,7,8
1487390580,3,3
1487394181,5,14
1487397776,6,6
1487401378,2,6
1487404979,2,10
1487408576,8,8
1487412176,12,10
1487415777,4,10
1487419377,7,12
1487422978,0,15
1487426579,5,3
1487430175,4,9
1487433777,5,9
1487437377,8,13
1487440978,5,7
1487444579,3,7
1487448178,9,5
1487451776,4,11
1487455376,6,7
1487458978,6,4
1487462578,8,6
1487466177,6,13
1487469776,3,7
1487473374,9,9
1487476974,4,7
1487480572,10,6
1487484173,5,1
1487487771,9,6
1487491377,8,9
1487494976,6,3
1487498575,4,10
1487502175,5,12
1487505777,6,8
1487509375,3,4
1487512975,7,12
1487516573,4,4
1487520176,6,6
1487523777,5,4
1487527377,4,8
1487530978,3,4
1487534575,6,6
1487538178,7,6
1487541777,5,7
1487545377,9,9
1487548976,2,7
1487552574,5,9
1487556175,5,12
1487559775,4,17
1487563374,5,14
1487566975,4,7
1487570576,4,12
1487574174,3,12
1487577778,4,3
1487581376,14,6
1487584975,4,6
1487588573,4,14
1487592176,9,15
1487595771,7,10
1487599371,3,11
1487602969,2,9
1487606568,4,5
1487610169,12,12
1487613774,12,8
1487617382,11,6
1487620975,7,7
1487624576,4,8
1487628175,4,5
1487631774,11,7
1487635373,8,5
1487638973,14,11
1487642573,5,3
1487646172,9,11
1487649774,5,14
1487653376,9,15
1487656974,3,11
1487660573,2,7
1487664173,9,9
1487667772,11,16
1487671374,29,6
1487674974,11,11
1487678573,10,4
1487682170,4,4
1487685768,7,3
1487689370,12,8
1487692971,7,5
1487696575,5,9
1487700171,9,6
1487703770,10,6
1487707371,11,10
1487710971,4,9
1487714569,3,18
1487718169,1,7
1487721771,8,4
1487725370,6,8
1487728971,6,5
1487732567,5,5
1487736170,3,8
1487739771,5,6
1487743368,5,8
1487746970,5,5
1487750571,6,2
1487754170,3,4
1487757769,8,12
1487761373,8,7
1487764972,5,8
1487768571,8,3
1487772171,9,9
1487775772,5,6
1487779373,5,4
1487782965,8,5
1487786568,21,2
1487790173,32,5
1487793768,26,6
1487797368,6,5
1487800969,8,4
1487804571,5,3
1487808172,7,3
1487811767,4,3
1487815372,9,4
1487818968,5,8
1487822567,9,12
1487826167,5,5
1487829772,4,4
1487833371,3,3
1487836970,4,11
1487840567,8,12
1487844173,7,4
1487847773,6,3
1487851369,4,9
1487854969,6,12
1487858571,11,8
1487862171,6,12
1487865770,7,5
1487869373,6,5
1487872971,5,5
1487876575,9,5
1487880169,6,11
1487883770,9,7
1487887370,7,7
1487890975,7,4
1487894571,8,5
1487898170,6,7
1487901768,7,5
1487905373,18,8
1487908971,3,5
1487912568,5,6
1487916168,6,6
1487919769,8,6
1487923370,2,5
1487926968,10,10
1487930570,8,9
1487934170,15,6
1487937773,33,10
1487941381,141,5
1487944986,173,9
1487948595,180,9
1487955742,161,2
1487959410,101,11
1487963015,17,5
1487966614,13,12
1487970216,15,9
1487973814,14,21
1487977412,36,4
1487981013,14,6
1487984617,14,4
1487988216,27,7
