DateTime,AddedIPs,RemovedIPs
1486868572,3,3
1486872171,2,5
1486875771,1,3
1486879430,0,2
1486886572,4,1
1486890170,3,10
1486893772,1,0
1486897430,2,3
1486901031,1,0
1486904571,3,3
1486908170,2,0
1486911771,5,3
1486918971,1,2
1486922631,3,2
1486926231,4,4
1486929831,1,2
1486933372,1,0
1486936971,2,2
1486940571,1,4
1486944171,4,2
1486947771,2,0
1486951372,2,6
1486954972,3,0
1486958632,1,2
1486962231,3,1
1486965771,0,5
1486969372,1,3
1486972972,2,0
1486976571,1,4
1486990971,1,5
1486994571,3,4
1486998171,1,0
1487001772,2,1
1487005373,5,3
1487008972,4,4
1487012571,2,1
1487016171,3,4
1487019773,3,2
1487023433,4,4
1487026973,2,0
1487030573,3,7
1487034173,4,1
1487037772,4,0
1487041372,1,0
1487044973,1,5
1487048573,4,6
1487052173,0,1
1487055832,1,5
1487059432,1,8
1487066632,1,4
1487070172,1,3
1487073772,2,0
1487077373,5,1
1487080972,0,1
1487084573,3,0
1487088173,2,3
1487095396,0,4
1487102573,2,1
1487106233,0,2
1487109840,2,4
1487113374,4,6
1487116974,1,0
1487120574,3,6
1487124174,2,0
1487127774,1,4
1487131373,2,0
1487134974,2,3
1487138574,0,2
1487142174,0,5
1487145773,4,6
1487152973,1,2
1487156573,2,2
1487160234,4,0
1487163775,1,3
1487167375,1,0
1487170976,3,0
1487174576,4,3
1487178235,2,3
1487181775,1,3
1487185376,1,0
1487188975,2,1
1487192575,2,3
1487196177,2,0
1487199775,4,6
1487203377,3,0
1487206976,2,3
1487210577,2,5
1487214235,3,0
1487217777,2,5
1487221376,2,0
1487224976,2,6
1487228576,1,13
1487232177,3,0
1487235777,3,1
1487239376,0,1
1487242976,2,1
1487246577,5,7
1487250178,2,1
1487253778,2,8
1487260978,5,4
1487264578,1,4
1487265901,1,2
1487268180,19,0
1487271780,2,3
1487275380,6,0
1487278980,3,2
1487282580,1,0
1487286180,2,1
1487289780,5,4
1487293380,1,4
1487296980,1,10
1487300580,1,2
1487304180,0,4
1487307780,3,0
1487311380,3,9
1487314980,1,0
1487318580,2,5
1487322180,3,2
1487325780,2,4
1487329380,2,0
1487332981,3,0
1487336580,2,1
1487340180,4,0
1487343781,7,4
1487347381,1,2
1487354581,1,1
1487358181,3,4
1487361781,0,2
1487365381,1,2
1487368981,3,2
1487372581,2,1
1487376181,5,0
1487379782,3,4
1487383322,20,2
1487386982,0,1
1487390522,0,5
1487394182,3,3
1487397782,3,0
1487401382,0,2
1487404982,4,1
1487408582,2,3
1487412182,4,2
1487415782,4,0
1487419383,2,2
1487422983,1,3
1487430183,2,0
1487433784,2,1
1487437383,1,3
1487440983,2,0
1487444584,2,3
1487448183,2,0
1487451786,4,0
1487455386,4,8
1487462586,3,3
1487466186,1,1
1487469726,1,0
1487473330,0,5
1487480590,2,1
1487484190,1,3
1487487791,2,2
1487491331,0,1
1487494931,4,0
1487498591,3,4
1487505732,2,5
1487509391,1,0
1487512991,1,6
1487516591,1,0
1487520191,0,3
1487523791,2,0
1487527391,1,3
1487530992,3,6
1487534592,3,0
1487538192,3,1
1487541792,2,3
1487545392,3,0
1487548992,2,4
1487552592,3,4
1487556192,0,1
1487559792,1,0
1487563332,1,5
1487566992,5,0
1487570592,1,4
1487574192,1,0
1487577792,2,3
1487581392,3,1
1487584932,3,0
1487588592,2,0
1487592192,3,5
1487599332,7,2
1487602993,1,2
1487606592,1,0
1487610192,4,4
1487613792,2,0
1487617392,3,5
1487620993,2,0
1487624593,3,3
1487628193,2,0
1487631793,1,3
1487635393,7,0
1487638933,2,4
1487642593,2,3
1487646193,2,2
1487649793,1,0
1487653393,2,4
1487656993,3,3
1487660593,4,0
1487664193,3,4
1487667793,3,2
1487675000,0,5
1487678540,3,0
1487682200,0,6
1487685740,3,1
1487689340,6,5
1487693000,0,1
1487696540,3,2
1487700141,1,0
1487703802,5,1
1487707341,0,1
1487711001,2,1
1487714601,3,1
1487721804,0,2
1487725404,1,3
1487727624,1,2
1487729005,0,1
1487732576,1,0
1487736206,1,8
1487739746,4,1
1487743404,0,1
1487747004,4,0
1487750605,2,5
1487754205,7,1
1487757804,1,3
1487761405,1,2
1487764945,4,0
1487768605,2,1
1487772145,1,4
1487775745,4,0
1487779345,4,4
1487782946,2,0
1487786605,0,2
1487790205,1,2
1487793745,4,1
1487797345,2,3
1487800945,2,0
1487803692,0,3
1487804593,1,0
1487808192,4,3
1487811792,3,2
1487815393,1,2
1487818931,0,4
1487822593,3,13
1487826191,1,0
1487829731,1,5
1487833392,2,2
1487836993,3,1
1487840593,7,4
1487844132,2,0
1487847792,2,4
1487851392,6,2
1487854992,2,0
1487858592,1,1
1487862192,2,0
1487865794,3,9
1487869392,3,0
1487872992,2,3
1487876593,1,0
1487880193,1,5
