DateTime,Entries,UniqueIPs
1486848075,81,81
1486871098,80,80
1486882621,76,76
1486890566,74,74
1486898265,74,74
1486902100,74,74
1486905904,73,73
1486917638,74,74
1486925315,75,75
1486956769,76,76
1486960604,76,76
1486975985,75,75
1486979795,76,76
1486983707,75,75
1486987589,75,75
1486991357,71,71
1486995447,70,70
1486999513,71,71
1487003324,86,86
1487007185,89,89
1487011001,46,46
1487014843,44,44
1487018672,45,45
1487022513,45,45
1487026361,46,46
1487030207,46,46
1487034113,46,46
1487037886,47,47
1487041752,44,44
1487045591,41,41
1487049674,41,41
1487053488,40,40
1487061187,41,41
1487065023,45,45
1487068873,46,46
1487073024,44,44
1487076782,45,45
1487080603,42,42
1487084524,43,43
1487088550,44,44
1487092375,42,42
1487096203,40,40
1487100054,38,38
1487103881,37,37
1487107608,37,37
1487115155,37,37
1487119028,35,35
1487122878,35,35
1487126687,32,32
1487130540,31,31
1487134395,32,32
1487138217,33,33
1487142152,34,34
1487146150,34,34
1487154062,35,35
1487157882,37,37
1487161751,34,34
1487165580,34,34
1487169413,37,37
1487173246,39,39
1487177099,42,42
1487184771,39,39
1487188613,37,37
1487192519,34,34
1487196305,55,55
1487203981,76,76
1487211671,40,40
1487215476,33,33
1487227008,29,29
1487234675,28,28
1487238520,33,33
1487246220,34,34
1487253899,34,34
1487257755,36,36
1487261588,41,41
1487265432,42,42
1487269499,48,48
1487273333,51,51
1487277173,47,47
1487281005,42,42
1487284869,43,43
1487288681,43,43
1487292523,42,42
1487296364,38,38
1487300219,37,37
1487304118,33,33
1487307893,34,34
1487311731,35,35
1487319405,34,34
1487323250,36,36
1487327086,34,34
1487330934,38,38
1487334785,36,36
1487338641,36,36
1487342482,34,34
1487346304,36,36
1487350142,37,37
1487353972,35,35
1487357806,33,33
1487361708,32,32
1487365489,34,34
1487369341,33,33
1487373178,34,34
1487377006,36,36
1487380843,31,31
1487384679,31,31
1487388533,29,29
1487392374,28,28
1487400030,29,29
1487403896,28,28
1487407724,31,31
1487415432,32,32
1487419371,32,32
1487423090,29,29
1487426949,30,30
1487430777,34,34
1487434612,33,33
1487438452,34,34
1487442271,24,24
1487446117,24,24
1487449967,26,26
1487453804,26,26
1487457671,27,27
1487461489,26,26
1487465324,24,24
1487469165,25,25
1487473003,24,24
1487476914,25,25
1487484527,24,24
1487488358,23,23
1487492126,19,19
1487495824,22,22
1487503507,21,21
1487507369,21,21
1487511272,19,19
1487515031,28,28
1487518855,40,40
1487522688,42,42
1487526520,14,14
1487530360,32,32
1487534202,37,37
1487538115,39,39
1487542152,40,40
1487545981,39,39
1487550058,41,41
1487553885,36,36
1487557731,38,38
1487561572,36,36
1487565415,37,37
1487573107,35,35
1487576929,36,36
1487584621,38,38
1487588559,36,36
1487592726,36,36
1487596605,33,33
1487600459,34,34
1487604291,33,33
1487608139,34,34
1487611992,36,36
1487615829,34,34
1487619653,35,35
1487623489,37,37
1487627351,41,41
1487631176,42,42
1487635023,39,39
1487638942,37,37
1487642703,37,37
1487646525,39,39
1487650385,40,40
1487654213,38,38
1487658065,36,36
1487661899,37,37
1487665738,37,37
1487669582,35,35
1487673426,33,33
1487677251,34,34
1487681115,33,33
1487684928,34,34
1487688925,32,32
1487692620,33,33
1487696517,31,31
1487700547,30,30
1487704373,31,31
1487708205,30,30
1487712045,30,30
1487715879,31,31
1487719731,31,31
1487723593,30,30
1487727430,27,27
1487731256,25,25
1487735091,25,25
1487738914,23,23
1487742775,22,22
1487746612,23,23
1487750503,24,24
1487754291,27,27
1487761984,37,37
1487765813,36,36
1487769658,37,37
1487773477,35,35
1487777330,35,35
1487781182,35,35
1487785009,36,36
1487788854,34,34
1487792694,32,32
1487796522,29,29
1487800355,31,31
1487807969,33,33
1487811740,31,31
1487815496,32,32
1487819340,33,33
1487823172,30,30
1487827009,31,31
1487830845,32,32
1487834697,30,30
1487838531,30,30
1487842370,28,28
1487846217,30,30
1487850056,29,29
1487857736,27,27
1487861568,30,30
1487865407,28,28
1487869341,29,29
1487873343,27,27
1487877182,25,25
1487881289,26,26
1487885091,25,25
1487888961,24,24
1487892787,24,24
1487900519,24,24
1487904283,22,22
1487911994,20,20
1487915847,18,18
1487927629,17,17
1487939113,20,20
1487946789,22,22
1487950529,27,27
1487954462,31,31
1487958284,29,29
1487962127,28,28
1487966015,30,30
1487969823,28,28
1487973730,30,30
1487981587,29,29
1487985679,28,28
1487989514,31,31
1487993379,31,31
1487997191,29,29
1488001061,29,29
1488004851,28,28
