DateTime,AddedIPs,RemovedIPs
1487114446,35,45
1487118534,50,64
1487122374,13,11
1487126217,7,14
1487130035,4,20
1487133878,18,22
1487137733,32,55
1487141575,10,27
1487145420,0,1
1487153088,10,26
1487164595,65,88
1487168470,38,24
1487172321,10,20
1487176140,3,2
1487183808,35,30
1487187693,41,37
1487191477,16,20
1487195327,5,0
1487199057,23,16
1487202750,12,18
1487206599,20,5
1487210515,34,31
1487214284,22,19
1487218110,7,3
1487221956,3,2
1487229886,50,80
1487233701,33,21
1487237565,14,25
1487245228,9,17
1487249065,9,14
1487252907,14,12
1487256765,39,37
1487260625,29,23
1487264506,34,46
1487268673,27,4
1487272373,8,5
1487276213,85,91
1487280028,66,13
1487283861,118,90
1487287651,169,120
1487291318,321,318
1487295165,448,446
1487299004,349,350
1487302827,451,450
1487306667,450,450
1487310506,371,373
1487314362,131,134
1487318228,423,421
1487322298,451,448
1487326145,451,451
1487329967,451,451
1487333808,154,154
1487337665,137,137
1487341481,141,142
1487345339,110,134
1487349177,122,107
1487353144,340,331
1487356838,303,303
1487360691,91,94
1487364506,120,123
1487368373,447,443
1487372201,345,343
1487376294,273,273
1487380142,438,437
1487383957,84,84
1487387784,85,89
1487391647,334,332
1487395467,128,126
1487399322,447,449
1487403165,448,447
1487407005,450,449
1487410831,451,451
1487414670,144,144
1487418509,95,95
1487422369,157,181
1487426208,155,135
1487430290,29,53
1487434135,5,10
1487437967,6,9
1487441795,45,47
1487445644,51,43
1487449465,14,19
1487453325,3,7
1487457178,5,7
1487460996,30,41
1487464823,44,66
1487468669,24,36
1487472504,8,10
1487476350,5,14
1487480214,4,14
1487484110,47,63
1487488136,40,46
1487492087,10,7
1487495798,5,15
1487499641,23,20
1487503477,40,49
1487507342,27,20
1487511242,8,13
1487514997,7,20
1487518826,30,18
1487522658,54,48
1487530353,9,314
1487534193,8,0
1487538102,74,0
1487542139,106,0
1487545970,62,0
1487550047,5,0
1487553875,14,0
1487557720,38,0
1487561558,53,0
1487569229,50,56
1487573093,4,3
1487576918,7,23
1487584606,42,69
1487588533,35,43
1487592713,48,41
1487596593,11,12
1487600446,83,82
1487604278,79,33
1487608121,104,93
1487611973,353,282
1487615811,421,423
1487619637,443,445
1487623473,449,445
1487627335,450,449
1487631161,416,417
1487635006,165,167
1487638924,444,447
1487642685,451,445
1487646510,451,451
1487650369,450,451
1487654196,158,161
1487658050,174,177
1487661881,117,117
1487665721,114,121
1487669566,375,363
1487673408,259,257
1487677226,108,110
1487681075,285,289
1487684913,438,433
1487688908,136,137
1487692604,283,283
1487696500,145,146
1487700531,109,114
1487704356,306,304
1487708188,88,88
1487712029,442,440
1487715861,444,443
1487719715,451,448
1487723576,450,451
1487727410,138,140
1487731236,121,123
1487735070,168,169
1487738900,19,28
1487742758,6,9
1487746598,7,34
1487750487,6,7
1487754276,4,9
1487761965,13,40
1487765796,30,51
1487769640,14,19
1487773459,10,18
1487777313,13,35
1487781161,9,6
1487784991,11,15
1487788820,12,18
1487792676,28,39
1487796503,11,16
1487800338,22,27
1487804191,8,25
1487807952,15,27
1487811721,10,8
1487815479,5,5
1487819320,5,0
1487823154,16,11
1487826989,17,9
1487830828,25,11
1487834677,18,35
1487838515,16,27
1487842353,16,9
1487846198,13,31
1487850040,11,7
1487853876,18,9
1487857716,13,11
1487861551,11,16
1487865389,16,8
1487869316,14,8
1487873324,10,14
1487877164,26,7
1487881271,16,10
1487885073,9,13
