DateTime,AddedIPs,RemovedIPs
1487095445,22,19
1487106452,55,66
1487109846,22,21
1487113441,18,19
1487117041,6,27
1487120639,19,15
1487124242,11,19
1487127840,11,21
1487131437,10,16
1487135036,8,20
1487138641,12,16
1487142238,8,20
1487145837,3,18
1487149436,13,25
1487153035,12,26
1487156638,20,14
1487160235,18,14
1487163836,6,18
1487167435,16,24
1487171036,7,23
1487174636,14,13
1487178233,10,24
1487181833,11,14
1487185436,11,25
1487189033,10,17
1487192631,10,37
1487196232,8,20
1487199827,7,21
1487203432,10,18
1487207028,10,17
1487210627,9,26
1487214228,12,23
1487217829,13,16
1487221428,19,17
1487225027,23,18
1487228627,12,9
1487232230,7,17
1487235828,14,20
1487239425,5,23
1487243027,11,16
1487246628,12,15
1487250228,17,16
1487253828,27,21
1487257429,11,14
1487261029,3,14
1487264629,11,10
1487268227,8,26
1487271826,14,14
1487275428,16,24
1487279028,22,26
1487282625,6,21
1487286225,12,25
1487289825,12,18
1487293466,13,28
1487297021,9,17
1487300624,22,21
1487304223,17,19
1487307820,8,20
1487311424,4,18
1487315020,8,18
1487318619,10,15
1487322219,10,13
1487325821,9,18
1487329417,17,16
1487333019,12,23
1487336619,8,13
1487340218,10,21
1487343817,10,29
1487347418,7,19
1487351017,7,18
1487354619,10,17
1487358220,30,11
1487361815,7,16
1487365419,14,17
1487369020,24,7
1487372620,13,13
1487376220,12,10
1487379818,11,21
1487383418,14,15
1487387016,13,17
1487390617,10,22
1487394216,7,17
1487397816,11,13
1487401417,6,5
1487405016,5,10
1487408616,11,20
1487412215,17,23
1487415815,10,14
1487419415,17,16
1487423015,9,20
1487426612,16,13
1487430213,17,20
1487433814,12,16
1487437415,16,19
1487441015,12,14
1487444613,22,14
1487448215,13,11
1487451816,12,25
1487455414,11,13
1487459016,13,12
1487462613,12,8
1487466214,9,15
1487469812,11,12
1487473414,15,13
1487477022,7,13
1487480610,15,6
1487484216,8,6
1487487814,12,14
1487491415,11,23
1487495014,12,18
1487498612,9,19
1487502208,10,20
1487505813,15,15
1487509413,12,14
1487513009,17,19
1487516610,13,14
1487520212,11,8
1487523814,14,13
1487527413,14,20
1487531012,17,6
1487534611,12,18
1487538214,16,14
1487541813,8,8
1487545412,18,21
1487549013,6,12
1487552612,12,21
1487556214,8,23
1487559809,10,23
1487563409,9,23
1487567011,7,11
1487570609,10,13
1487574210,8,17
1487577809,14,7
1487581408,26,17
1487585010,9,9
1487588607,16,22
1487592210,13,16
1487595809,13,25
1487599408,11,17
1487603007,6,11
1487606608,21,10
1487610209,18,23
1487613806,16,13
1487617410,20,9
1487621011,12,12
1487624608,16,15
1487628208,17,13
1487631809,12,11
1487635406,11,13
1487639006,23,17
1487642609,8,9
1487646210,18,16
1487649808,11,17
1487653411,19,33
1487657009,8,11
1487660609,7,10
1487664207,23,15
1487667806,15,26
1487671408,39,12
1487675008,21,20
1487678608,15,8
1487682209,28,9
1487685810,25,11
1487689415,23,12
1487693013,18,11
1487696612,15,13
1487700211,16,19
1487703812,18,26
1487707411,29,28
1487711010,11,11
1487714611,6,22
1487718209,7,18
1487721812,15,8
1487725410,20,22
1487729010,17,11
1487732612,9,9
1487736211,5,15
1487739810,5,11
1487743409,13,9
1487747005,9,14
1487750612,20,7
1487754209,8,11
1487757812,12,20
1487761412,13,20
1487765008,6,16
1487768610,13,8
1487772211,14,15
1487775812,15,10
1487779409,14,16
1487783013,24,8
1487786613,22,8
1487790224,38,13
1487793818,32,12
1487797418,19,8
1487801013,13,10
1487804611,11,6
1487808217,16,5
1487811814,6,4
1487815426,11,10
1487819016,9,11
1487822613,12,18
1487826218,11,14
1487829815,8,17
1487833416,7,13
1487837014,8,11
1487840616,11,23
1487844214,10,7
1487847817,12,8
1487851414,12,12
1487855010,8,15
1487858608,17,30
1487862214,19,14
1487865814,16,9
1487869410,17,9
1487873010,16,9
1487876618,23,11
1487880209,15,18
1487883813,24,19
1487887420,25,7
1487891022,14,11
1487894619,13,11
1487898217,17,11
1487901817,15,9
1487905414,30,16
1487909020,7,14
1487912619,10,9
1487916215,11,10
1487919818,19,10
1487923420,8,9
1487927020,17,14
1487930618,15,11
1487934217,26,13
1487937822,47,15
1487941429,154,7
1487945036,188,14
1487948642,189,12
1487955834,181,6
1487959463,139,21
1487963061,29,24
1487966660,26,18
1487970265,21,13
1487973861,20,27
1487977465,46,7
1487981063,18,10
1487984666,21,9
1487988267,34,17
